Iteration,NumberStormsInIteration,PresentValueStructureDamage,PresentValueContentsDamage,PresentValueDamage,LifeLossUnder65,LifeLossOver65,TotalLifeLoss,AverageNumberOfStorms,AveragePVStructureDamage,AveragePVContentsDamage,AveragePVDamage,AveragePSERepairCost,AveragePVPSERepairCost,AverageLifeLossUnder65,AverageLifeLossOver65,AverageLifeLoss,InitialStructureValue,InitialContentsValue,NumberStructuresRemoved,FinalStructureValue,FinalContentsValue,NumberStructuresRaised,NumberStrucutresAddedToBenefitsBase
1,14,435415,277778,713193,0.0000,0.0000,0.0000,14,435415,277778,713193,0,0,0.0000,0.0000,0.0000,26544746,13352366,0,16776280,8438695,0,0
2,8,659558,395858,1055416,0.0000,0.0000,0.0000,11,547486,336818,884304,0,0,0.0000,0.0000,0.0000,26306733,13370632,0,14773961,7489165,0,0
3,21,1089774,632859,1722634,0.0000,0.0000,0.0000,14,728249,435499,1163747,0,0,0.0000,0.0000,0.0000,26378366,13288484,0,15615993,7866783,0,0
4,17,819613,456807,1276420,0.0000,0.0000,0.0000,15,751090,440826,1191916,0,0,0.0000,0.0000,0.0000,26261249,13464980,0,15546660,7971268,0,0
5,12,562825,339807,902632,476.0374,0.0000,476.0374,14,713437,420622,1134059,0,0,95.2075,0.0000,95.2075,26409666,13174929,0,16057077,8010357,0,0
6,12,1029790,1104958,2134748,0.0000,11.4726,11.4726,14,766163,534678,1300840,0,0,79.3396,1.9121,81.2517,26849778,13371709,0,15895068,7916052,6,2
7,9,2908887,2368283,5277170,47.2535,0.0000,47.2535,13,1072266,796621,1868888,0,0,74.7558,1.6389,76.3948,26642662,13324085,0,15772456,7887858,0,0
8,11,464294,327119,791413,0.0000,0.0000,0.0000,13,996270,737934,1734203,0,0,65.4114,1.4341,66.8454,26351449,13243596,0,15600058,7840209,0,0
9,16,1265793,656756,1922549,0.0000,0.0000,0.0000,13,1026217,728914,1755130,0,0,58.1434,1.2747,59.4182,26356564,13262249,0,14726767,7359672,0,0
10,14,5130660,4963408,10094069,36.3756,0.0000,36.3756,13,1436661,1152363,2589024,0,0,55.9666,1.1473,57.1139,26433919,13379645,0,15860351,8027787,0,0
