Iteration, SeasonNumber, Description, TotalNumberOfStormsInSeason, AverageAnnualNumberOfStormsInSeason
1,1,Trop Season June,0,0.00
1,2,Trop Season July,0,0.00
1,3,Trop Season August,7,0.13
1,4,Trop Season September,5,0.09
1,5,Trop Season October,2,0.04
1,6,Trop Season November,0,0.00
2,1,Trop Season June,1,0.02
2,2,Trop Season July,1,0.02
2,3,Trop Season August,2,0.04
2,4,Trop Season September,3,0.06
2,5,Trop Season October,0,0.00
2,6,Trop Season November,1,0.02
3,1,Trop Season June,2,0.04
3,2,Trop Season July,1,0.02
3,3,Trop Season August,6,0.11
3,4,Trop Season September,9,0.17
3,5,Trop Season October,3,0.06
3,6,Trop Season November,0,0.00
4,1,Trop Season June,0,0.00
4,2,Trop Season July,0,0.00
4,3,Trop Season August,3,0.06
4,4,Trop Season September,11,0.20
4,5,Trop Season October,2,0.04
4,6,Trop Season November,1,0.02
5,1,Trop Season June,0,0.00
5,2,Trop Season July,1,0.02
5,3,Trop Season August,2,0.04
5,4,Trop Season September,6,0.11
5,5,Trop Season October,3,0.06
5,6,Trop Season November,0,0.00
6,1,Trop Season June,0,0.00
6,2,Trop Season July,0,0.00
6,3,Trop Season August,6,0.11
6,4,Trop Season September,6,0.11
6,5,Trop Season October,0,0.00
6,6,Trop Season November,0,0.00
7,1,Trop Season June,0,0.00
7,2,Trop Season July,2,0.04
7,3,Trop Season August,4,0.07
7,4,Trop Season September,1,0.02
7,5,Trop Season October,1,0.02
7,6,Trop Season November,1,0.02
8,1,Trop Season June,1,0.02
8,2,Trop Season July,0,0.00
8,3,Trop Season August,4,0.07
8,4,Trop Season September,4,0.07
8,5,Trop Season October,1,0.02
8,6,Trop Season November,1,0.02
9,1,Trop Season June,0,0.00
9,2,Trop Season July,0,0.00
9,3,Trop Season August,4,0.07
9,4,Trop Season September,8,0.15
9,5,Trop Season October,4,0.07
9,6,Trop Season November,0,0.00
10,1,Trop Season June,0,0.00
10,2,Trop Season July,0,0.00
10,3,Trop Season August,5,0.09
10,4,Trop Season September,8,0.15
10,5,Trop Season October,0,0.00
10,6,Trop Season November,1,0.02
