Iteration,Year,NumberStorms,PropertyDamage,LossOfLife
1,2016,0,0,0
1,2017,0,0,0
1,2018,0,0,0
1,2019,0,0,0
1,2020,0,0,0
1,2021,0,0,0
1,2022,0,0,0
1,2023,0,0,0
1,2024,1,0,0
1,2025,0,0,0
1,2026,1,0,0
1,2027,0,0,0
1,2028,0,0,0
1,2029,0,0,0
1,2030,0,0,0
1,2031,0,0,0
1,2032,2,0,0
1,2033,0,0,0
1,2034,2,0,0
1,2035,0,0,0
1,2036,0,0,0
1,2037,0,0,0
1,2038,0,0,0
1,2039,1,991049,0
1,2040,0,0,0
1,2041,0,0,0
1,2042,0,0,0
1,2043,1,0,0
1,2044,1,0,0
1,2045,1,0,0
1,2046,1,0,0
1,2047,1,0,0
1,2048,0,0,0
1,2049,0,0,0
1,2050,0,0,0
1,2051,0,0,0
1,2052,0,0,0
1,2053,0,0,0
1,2054,1,531926,0
1,2055,0,0,0
1,2056,0,0,0
1,2057,0,0,0
1,2058,0,0,0
1,2059,0,0,0
1,2060,0,0,0
1,2061,0,0,0
1,2062,1,0,0
1,2063,0,0,0
1,2064,0,0,0
1,2065,0,0,0
1,2066,0,0,0
1,2067,0,0,0
1,2068,0,0,0
1,2069,0,0,0
2,2016,0,0,0
2,2017,0,0,0
2,2018,0,0,0
2,2019,0,0,0
2,2020,0,0,0
2,2021,0,0,0
2,2022,0,0,0
2,2023,0,0,0
2,2024,0,0,0
2,2025,1,0,0
2,2026,0,0,0
2,2027,0,0,0
2,2028,0,0,0
2,2029,0,0,0
2,2030,0,0,0
2,2031,0,0,0
2,2032,0,0,0
2,2033,0,0,0
2,2034,0,0,0
2,2035,0,0,0
2,2036,1,0,0
2,2037,0,0,0
2,2038,0,0,0
2,2039,0,0,0
2,2040,0,0,0
2,2041,1,926996,0
2,2042,0,0,0
2,2043,0,0,0
2,2044,0,0,0
2,2045,0,0,0
2,2046,0,0,0
2,2047,0,0,0
2,2048,0,0,0
2,2049,0,0,0
2,2050,0,0,0
2,2051,0,0,0
2,2052,0,0,0
2,2053,0,0,0
2,2054,0,0,0
2,2055,0,0,0
2,2056,1,480078,0
2,2057,1,0,0
2,2058,0,0,0
2,2059,0,0,0
2,2060,0,0,0
2,2061,0,0,0
2,2062,0,0,0
2,2063,1,0,0
2,2064,0,0,0
2,2065,1,1207883,0
2,2066,0,0,0
2,2067,0,0,0
2,2068,0,0,0
2,2069,1,591037,0
3,2016,1,0,0
3,2017,1,0,0
3,2018,1,0,0
3,2019,0,0,0
3,2020,1,0,0
3,2021,0,0,0
3,2022,0,0,0
3,2023,1,0,0
3,2024,0,0,0
3,2025,0,0,0
3,2026,0,0,0
3,2027,0,0,0
3,2028,2,0,0
3,2029,2,277150,0
3,2030,0,0,0
3,2031,0,0,0
3,2032,0,0,0
3,2033,0,0,0
3,2034,0,0,0
3,2035,1,0,0
3,2036,1,0,0
