Iteration,EventNumber,TimeStep,StormLocation,AreaElementTextID,WatersideGroundElevation,StormWaterLevelDB,WaveDB,DepthLimitedWaveHeight,SLCContribution,TideContribution,WaveContribution,AdjustedWaveContribution,TotalWaterLevel
1,70,0,1,BH1,2.45,-0.49,0.00,0.00,0.08,0.00,0.00,0.00,-0.41
1,70,0,1,BH2,4.25,-0.49,0.00,0.00,0.08,0.00,0.00,0.00,-0.41
1,70,1,1,BH1,2.45,-0.49,0.00,0.00,0.08,0.00,0.00,0.00,-0.41
1,70,1,1,BH2,4.25,-0.49,0.00,0.00,0.08,0.00,0.00,0.00,-0.41
1,70,2,1,BH1,2.45,-0.49,0.00,0.00,0.08,0.00,0.00,0.00,-0.41
1,70,2,1,BH2,4.25,-0.49,0.00,0.00,0.08,0.00,0.00,0.00,-0.41
1,70,3,1,BH1,2.45,-0.49,0.00,0.00,0.08,0.00,0.00,0.00,-0.41
1,70,3,1,BH2,4.25,-0.49,0.00,0.00,0.08,0.00,0.00,0.00,-0.41
1,70,4,1,BH1,2.45,-0.49,0.00,0.00,0.08,0.00,0.00,0.00,-0.41
1,70,4,1,BH2,4.25,-0.49,0.00,0.00,0.08,0.00,0.00,0.00,-0.41
1,70,5,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,5,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,6,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,6,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,7,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,7,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,8,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,8,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,9,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,9,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,10,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,10,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,11,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,11,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,12,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,12,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,13,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,13,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,14,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,14,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,15,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,15,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,16,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,16,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,17,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,17,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
